Gene Name,ZT1,ZT4,ZT7,ZT10,ZT13,ZT16,ZT19,ZT22
Elk1,5.206,6.731,5.29,4.737,4.847,3.916,4.592,5.558
Ocln,10.212,11.309,10.54,6.757,9.21,6.228,8.658,9.181
Uty,7.358,8.413,9.602,7.062,6.858,5.939,6.449,7.197
Bcl10,7.977485454,6.780925879,8.609916519,7.958512522,6.472299519,5.086010625,6.506450797,6.635466734
Cd83,5.206,3.483,5.509,3.328,1.634,1.918,1.982,2.508
Neu1,17.32509271,18.09147095,17.51792336,14.90976514,9.854140915,13.4487021,13.52533993,13.57725587
Prkcd,4.255,6.105,4.332,4.316,3.052,3.154,3.664,3.574
Sorbs3,23.177,30.601,28.585,19.516,13.178,10.512,17.566,13.936
Tle1,53.261,64.294,58.528,48.42,49.354,45.962,38.972,56.824
Nr2c1,9.811,11.622,10.36,9.751,8.779,6.412,8.934,9.05
Axin2,8.96,11.74,10.64,8.196,6.589,5.177,7.102,7.214
Rbms1,16.419,18.901,29.344,13.238,10.413,7.621,11.569,12.116
Ndfip1,25.029,32.91,26.35,23.062,18.636,21.128,19.95,22.264
Ing2,13.05416249,11.51287195,15.08358409,12.58274824,9.513540622,7.820127048,10.69709127,11.37412237
Pop4,4.369735028,5.754326849,4.983917905,4.13999081,3.38183489,3.501301884,4.035840098,3.816817277
2810474O19Rik,32.888,41.832,37.848,25.024,17.163,18.737,32.096,21.559
Map1lc3b,22.78673835,36.53763441,29.0125448,22.78673835,24.74193548,15.77777778,21.40681004,21.80107527
Mrpl18,22.67811472,27.44976251,26.47424187,23.36134454,20.92436975,12.86445013,21.63682864,21.0851297
Nsmce2,5.306,5.635,5.39,4.781,3.555,3.863,4.392,4.476
Wdr5b,22.99719888,30.91316527,27.51260504,25.15406162,23.03081232,16.78431373,20.2464986,25.07563025
Pvr,10.062,12.366,13.973,9.126,7.792,7.752,8.356,9.083
Ccdc11,10.913,16.592,13.015,7.368,5.601,4.835,4.868,9.82
Pgpep1l,9.361,11.387,11.997,8.225,5.332,4.704,6.148,6.837
Pik3ap1,16.118,22.697,39.604,12.294,12.119,7.437,10.314,17.214
Cyp4f15,75.286,83.234,92.344,69.433,58.348,50.955,66.325,62.939
Pim3,254.0443575,319.5890411,313.1637312,306.0861057,262.3287671,202.7919113,205.9295499,262.7658187
Slc2a9,21.625,20.975,25.052,19.908,14.255,12.614,16.136,18.378
Dnmt3a,14.817,15.927,17.786,12.192,8.761,9.671,11.995,10.181
Bptf,8.96,11.035,8.963,8.559,6.068,7.621,7.077,7.509
Stac3,9.325357913,12.89272406,10.13924299,9.917630908,8.203569327,7.009217494,8.2682879,8.262404393
Kiss1,16.65362035,42.87671233,31.25244618,24.46183953,18.962818,7.201565558,14.73581213,22.13307241
Mir1929,21.50537634,29.46236559,21.50537634,7.849462366,11.61290323,5.698924731,8.064516129,7.096774194
B930025P03Rik,10.112,14.166,15.95,6.772,2.442,1.945,2.961,3.492
Smim19,4.055,4.931,5.13,3.836,3.627,3.39,3.714,3.607
LOC547349,5.907,6.966,8.783,7.76,5.099,3.784,3.865,6.869
Tcf25,20.223,20.349,23.994,23.076,17.846,15.925,16.437,18.542
Tcf25,20.223,20.349,23.994,23.105,17.864,15.899,16.437,18.559
Kansl1l,14.617,14.557,23.395,16.799,12.047,10.065,10.314,13.903
Pnpla2,26.60573678,30.04218223,33.68110236,31.99662542,20.70022497,17.36782902,18.77109111,22.17660292
